bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.295), (1294.0, 35.448), (1293.9, 31.687), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.393), (1295.2, 13.699), (1295.3, 10.136), (1295.4, 18.965), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.995), (1295.8, 29.582), (1296.0, 25.964)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.295), (1294.0, 35.448), (1293.9, 31.687), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.393), (1295.2, 13.699), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.995), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.295), (1294.0, 35.448), (1293.9, 31.687), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.393), (1295.2, 13.699), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.995), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.295), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.995), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.209), (1294.2, 12.052), (1294.1, 29.295), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.468), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 9.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.888), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 42.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 9.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.209), (1294.2, 12.052), (1294.1, 29.888), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 42.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.468), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.18), (1295.9, 8.444)]
bids, [(1294.8, 9.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.888), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 42.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.18), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.888), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.18), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 11.823), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.209), (1294.2, 11.977), (1294.1, 29.888), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.468), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.306), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 9.154), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 29.888), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.911), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 14.004), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.209), (1294.2, 12.052), (1294.1, 28.209), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.468), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 28.209), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
